latitude,longitude,population
43.426792,-70.75245,15971
43.583224,-70.35268,16896
43.553076,-70.84515,2335
43.797398,-69.95217,4175
43.467037,-70.80275,4769
43.761599,-70.56433,7619
43.770432,-70.63812,1666
43.94674,-69.96163,9100
43.56066,-70.75497,1841
44.190761,-70.70757,1435
43.320211,-70.61178,9382
43.824885,-70.75038,718
43.682148,-70.35823,16142
43.660386,-70.57492,4235
43.642631,-70.91218,1328
43.801773,-70.17932,8505
43.842797,-70.22985,3031
43.660525,-70.25862,17519
43.658632,-70.2911,16745
43.685882,-70.2903,28973
43.736732,-70.26027,10310
43.631549,-70.27272,23398
43.604739,-70.22617,9068
43.665177,-70.19475,920
43.760369,-70.19681,1204
44.089173,-70.24143,23208
44.661894,-70.79952,711
44.372129,-70.8175,3148
44.386951,-70.63082,1505
44.295264,-70.3671,1998
44.423658,-70.31378,1674
43.972505,-70.12291,3381
44.555583,-70.41383,3084
